Date,AAPL,AAPL,AAPL,AAPL,AAPL
2014-05-05T00:00:00.000,18.397014816448312,18.735564524909368,18.39264952654974,18.734315872192383,287067200
2014-05-06T00:00:00.000,18.76050131710629,18.841865187377703,18.530126571655273,18.530126571655273,374564400
2014-05-07T00:00:00.000,18.55631471153369,18.619909432931564,18.321885968528466,18.465286254882812,282864400
2014-05-08T00:00:00.000,18.440520995615124,18.633626377846337,18.382527771516,18.432371139526367,230297200
2014-05-09T00:00:00.000,18.324215305229682,18.377820518468376,18.19223889857053,18.35556411743164,291597600
2014-05-12T00:00:00.000,18.41668704726312,18.610103714504334,18.413864399457626,18.58408546447754,213208800
2014-05-13T00:00:00.000,18.558072771540882,18.637696248372837,18.517321824325435,18.613245010375977,159737200
2014-05-14T00:00:00.000,18.57155287914693,18.727352716349312,18.549922616237073,18.6166934967041,166404000
2014-05-15T00:00:00.000,18.642718920061885,18.702279172373803,18.43393994477489,18.458391189575195,230846000
2014-05-16T00:00:00.000,18.452426319537413,18.731424860409938,18.351172596130912,18.730798721313477,276256400
2014-05-19T00:00:00.000,18.741458625908606,19.038638672978788,18.725157243340274,18.95274543762207,317755200
2014-05-20T00:00:00.000,18.950240780222472,19.009487953538244,18.83174475942175,18.956510543823242,234836000
2014-05-21T00:00:00.000,18.928918993149185,19.018887149204144,18.873433691450728,19.006662368774414,196859600
2014-05-22T00:00:00.000,19.015759782831637,19.117641359700077,18.937390240562497,19.036762237548828,200760000
2014-05-23T00:00:00.000,19.036133329089605,19.270617456613355,19.011682089031883,19.251808166503906,232209600
2014-05-27T00:00:00.000,19.30666574860083,19.61951938119999,19.29882896357696,19.6123104095459,348866000
2014-05-28T00:00:00.000,19.624538193143803,19.743975101048687,19.55431851261992,19.5615291595459,315481600
2014-05-29T00:00:00.000,19.681902359724,19.964662806145302,19.67939445457089,19.917953491210938,376474000
2014-05-30T00:00:00.000,19.99945470630735,20.193499224480576,19.714814225436868,19.843341827392578,564020800
2014-06-02T00:00:00.000,19.873439012309888,19.900711222926386,19.514189163142866,19.706979751586914,369350800
2014-06-03T00:00:00.000,19.70102384212837,20.02328294329998,19.694441009936366,19.98566436767578,292709200
2014-06-04T00:00:00.000,19.982532137441392,20.310120148022126,19.94083863088193,20.21388053894043,335482000
2014-06-05T00:00:00.000,20.257140121506307,20.356513770448153,20.14460080760028,20.293190002441406,303805600
2014-06-06T00:00:00.000,20.373126875506134,20.41576126027132,20.20290742853309,20.237388610839844,349938400
2014-06-09T00:00:00.000,20.341781560209824,20.600716934957124,20.13331736344401,20.56121826171875,301660000
2014-06-10T00:00:00.000,20.787228414401767,20.8574480545699,20.532681172437112,20.68189811706543,251108000
2014-06-11T00:00:00.000,20.655577820378156,20.79382402524224,20.510750455960196,20.596330642700195,182724000
2014-06-12T00:00:00.000,20.635824238742195,20.65337957379483,20.16622990818207,20.25181007385254,218996000
2014-06-13T00:00:00.000,20.232063248745284,20.284729262611503,19.942406869157765,20.030181884765625,218100000
2014-06-16T00:00:00.000,20.08065689337158,20.352757986908887,20.06748955030867,20.232067108154297,142244000
2014-06-17T00:00:00.000,20.256205674789975,20.341785872587582,20.144294138697422,20.20573616027832,118904000
2014-06-18T00:00:00.000,20.247422983076966,20.251812654483935,20.045541626753195,20.22767448425293,134056000
2014-06-19T00:00:00.000,20.25181137625227,20.254006211817224,20.043345525975763,20.157453536987305,142112000
2014-06-20T00:00:00.000,20.155261141022162,20.30886783995046,19.946796939682077,19.948991775512695,403592000
2014-06-23T00:00:00.000,20.03896005657516,20.104791738475242,19.880965359350327,19.93143653869629,174776000
2014-06-24T00:00:00.000,19.913876922771394,20.131118747707074,19.790992928734056,19.810741424560547,156144000
2014-06-25T00:00:00.000,19.7953865402067,19.902910065488086,19.67250251131368,19.82830238342285,147476000
2014-06-26T00:00:00.000,19.83049523379786,19.979712257156635,19.705416381436027,19.946796417236328,130516000
2014-06-27T00:00:00.000,19.929244691847565,20.1881801124303,19.918272185162152,20.183792114257812,256116000
2014-06-30T00:00:00.000,20.210121001519493,20.56780391639994,20.2079261656146,20.392253875732422,197929200
2014-07-01T00:00:00.000,20.521717071533203,20.642407912228293,20.43613690237449,20.521717071533203,152892000
2014-07-02T00:00:00.000,20.598519615505477,20.640211441941588,20.427357616575687,20.512939453125,113860000
2014-07-03T00:00:00.000,20.55463531387605,20.64899316196528,20.451499796875133,20.63363265991211,91567200
2014-07-07T00:00:00.000,20.65777558953527,21.063733243743396,20.648997918601584,21.059345245361328,225872000
2014-07-08T00:00:00.000,21.125167775369654,21.241470618374205,20.609491928597446,20.92328643798828,260888000
2014-07-09T00:00:00.000,20.943036559689354,21.05494805726568,20.79381955541864,20.932064056396484,145744000
2014-07-10T00:00:00.000,20.574385948899444,20.96717785211882,20.521719934248136,20.85526466369629,158744000
2014-07-11T00:00:00.000,20.925479221764963,21.041780379197355,20.815760896010815,20.894758224487305,136072000
2014-07-14T00:00:00.000,21.035205978880526,21.261225552660555,20.989124464493578,21.1646728515625,171240000
2014-07-15T00:00:00.000,21.24147313641372,21.25244396686406,20.853069241584155,20.916706085205078,181911600
2014-07-16T00:00:00.000,21.278777052451535,21.307303220731313,20.78943247514862,20.79821014404297,213585200
2014-07-17T00:00:00.000,20.853062404919267,20.907921561692884,20.313248503167138,20.42735481262207,229192000
2014-07-18T00:00:00.000,20.543656187529738,20.789424121135703,20.411992881191132,20.721399307250977,199952000
2014-07-21T00:00:00.000,20.844289572192963,20.846484407740043,20.565605727797532,20.613882064819336,156316000
2014-07-22T00:00:00.000,20.776262234771544,20.822343730694683,20.65337824564317,20.7850399017334,220788000
2014-07-23T00:00:00.000,20.93864730708895,21.47846133133925,20.88378813786633,21.327051162719727,371672000
2014-07-24T00:00:00.000,21.294135524643572,21.35557752687802,21.15808418100373,21.291940689086914,182916000
2014-07-25T00:00:00.000,21.252446443752458,21.469688332350046,21.206364932484448,21.432384490966797,173876000
2014-07-28T00:00:00.000,21.465299052385948,21.776898780921467,21.40605187691425,21.728622436523438,221272000
2014-07-29T00:00:00.000,21.79664447219508,21.82078263942914,21.55965247071644,21.588178634643555,172572000
